代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002027.SZ,分众传媒,2004-08-04,N/A,0.9206,0.9523,0.8901,0.9289,15775520,227864122.7,0.2584,38.5417,14.4442,54.3983,424270000,N/A,1638208426.47,29000000,0,111975969,29.0898,8.0873,0.9395,27.0535,
002027.SZ,分众传媒,2004-08-05,0.9289,0.9111,0.9396,0.9035,0.9396,7802637,113804012.8,0.0108,1.162,14.5853,26.9056,429200000,N/A,1657244341.2,29000000,0,111975969,29.4278,8.1813,0.9504,27.3679,
002027.SZ,分众传媒,2004-08-06,0.9396,0.9384,0.953,0.8971,0.9346,6083697,88672431,-0.0051,-0.5405,14.5754,20.9783,426880000,N/A,1648286263.68,29000000,0,111975969,29.2687,8.1371,0.9453,27.22,
002027.SZ,分众传媒,2004-08-09,0.9346,0.9168,0.9193,0.8616,0.8717,4360377,60979027.6,-0.0629,-6.7255,13.9848,15.0358,398170000,N/A,1537430054.37,29000000,0,111975969,27.3002,7.5898,0.8817,25.3893,
002027.SZ,分众传媒,2004-08-10,0.8717,0.8635,0.8781,0.8533,0.8704,2243114,30558836.3,-0.0013,-0.1457,13.6234,7.7349,397590000,N/A,1535190534.99,29000000,0,111975969,27.2605,7.5788,0.8804,25.3523,
002027.SZ,分众传媒,2004-08-11,0.8704,0.8711,0.8711,0.8127,0.8266,3462021,45429578.8,-0.0438,-5.0328,13.1223,11.938,377580000,N/A,1457927116.38,29000000,0,111975969,25.8885,7.1974,0.8361,24.0764,
002027.SZ,分众传媒,2004-08-12,0.8266,0.8184,0.8241,0.8044,0.8127,1822355,23361793.2,-0.014,-1.6897,12.8196,6.284,371200000,N/A,1433292403.2,29000000,0,111975969,25.4511,7.0757,0.822,23.6695,
002027.SZ,分众传媒,2004-08-13,0.8127,0.8076,0.8279,0.7892,0.7904,1879090,23820869.5,-0.0222,-2.7344,12.6768,6.4796,361050000,N/A,1394100814.05,29000000,0,111975969,24.7551,6.8823,0.7995,23.0223,
002027.SZ,分众传媒,2004-08-16,0.7904,0.7816,0.7873,0.7181,0.7225,3136954,36557208,-0.0679,-8.5944,11.6537,10.8171,330020000,N/A,1274286527.22,29000000,0,111975969,22.6276,6.2908,0.7308,21.0437,
002027.SZ,分众传媒,2004-08-17,0.7225,0.7155,0.7333,0.7073,0.7149,1469240,16686263.1,-0.0076,-1.0545,11.3571,5.0663,326540000,N/A,1260849410.94,29000000,0,111975969,22.389,6.2244,0.7231,20.8218,
002027.SZ,分众传媒,2004-08-18,0.7149,0.7111,0.7174,0.687,0.6882,2258758,24711912.9,-0.0267,-3.73,10.9405,7.7888,314360000,N/A,1213819503.96,29000000,0,111975969,21.5539,5.9923,0.6961,20.0451,
002027.SZ,分众传媒,2004-08-19,0.6882,0.6774,0.6984,0.6736,0.6908,1551785,16759883.5,0.0025,0.369,10.8004,5.351,315520000,N/A,1218298542.72,29000000,0,111975969,21.6334,6.0144,0.6987,20.1191,
002027.SZ,分众传媒,2004-08-20,0.6908,0.6952,0.7047,0.68,0.6952,1132892,12367271.7,0.0044,0.6434,10.9165,3.9065,317550000,N/A,1226136860.55,29000000,0,111975969,21.7726,6.0531,0.7032,20.2485,
002027.SZ,分众传媒,2004-08-23,0.6952,0.6831,0.6851,0.6476,0.6514,1523263,15843927.6,-0.0438,-6.3014,10.4013,5.2526,297540000,N/A,1148873441.94,29000000,0,111975969,20.4006,5.6716,0.6589,18.9726,
002027.SZ,分众传媒,2004-08-24,0.6514,0.6546,0.6704,0.6393,0.6616,1367954,14232216.9,0.0102,1.5595,10.404,4.7171,302180000,N/A,1166789596.98,29000000,0,111975969,20.7188,5.7601,0.6691,19.2685,
002027.SZ,分众传媒,2004-08-25,0.6616,0.6597,0.666,0.6412,0.666,999015,10311169.3,0.0044,0.6718,10.3213,3.4449,304210000,N/A,1174627914.81,29000000,0,111975969,20.8579,5.7988,0.6736,19.3979,
002027.SZ,分众传媒,2004-08-26,0.666,0.666,0.6692,0.6381,0.6381,1501854,15404434.9,-0.0279,-4.1945,10.2569,5.1788,291450000,N/A,1125358488.45,29000000,0,111975969,19.9831,5.5556,0.6454,18.5843,
002027.SZ,分众传媒,2004-08-27,0.6381,0.6539,0.6768,0.6476,0.6641,2549254,26714860.5,0.026,4.0796,10.4795,8.7905,303340000,N/A,1171268635.74,29000000,0,111975969,20.7983,5.0616,0.6717,19.3424,
002027.SZ,分众传媒,2004-08-30,0.6641,0.6584,0.7206,0.6539,0.6908,3015096,33013872.1,0.0267,4.0153,10.9495,10.3969,315520000,N/A,1218298542.72,29000000,0,111975969,21.6334,5.2648,0.6987,20.1191,
002027.SZ,分众传媒,2004-08-31,0.6908,0.7174,0.727,0.6952,0.6958,3152117,35119815.2,0.0051,0.7353,11.1417,10.8694,317840000,N/A,1227256620.24,29000000,0,111975969,21.7925,5.3035,0.7038,20.267,
002027.SZ,分众传媒,2004-09-01,0.6958,0.6857,0.692,0.6768,0.6793,1196354,12875840.2,-0.0165,-2.3723,10.7626,4.1254,310300000,N/A,1198142868.3,29000000,0,111975969,21.2755,5.1777,0.6871,19.7862,
002027.SZ,分众传媒,2004-09-02,0.6793,0.6768,0.6939,0.6666,0.692,1318589,14122181.6,0.0127,1.8692,10.7101,4.5469,316100000,N/A,1220538062.1,29000000,0,111975969,21.6732,5.2745,0.7,20.1561,
002027.SZ,分众传媒,2004-09-03,0.692,0.692,0.6946,0.6724,0.6768,828137,8901069.7,-0.0152,-2.2018,10.7483,2.8556,309140000,N/A,1193663829.54,29000000,0,111975969,21.196,5.1584,0.6845,19.7123,
002027.SZ,分众传媒,2004-09-06,0.6768,0.6768,0.6844,0.6704,0.6793,440016,4692892.1,0.0025,0.3752,10.6653,1.5173,310300000,N/A,1198142868.3,29000000,0,111975969,21.2755,5.1777,0.6871,19.7862,
