代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
601998.SH,中信银行,2007-04-27,N/A,4.7995,6.3524,4.6275,5.9251,834062637,8437484529,2.9026,96.0345,10.1161,72.4237,13094180910,N/A,435476947123.98,1151643000,0,38300523054,116.8752,13.6835,24.4238,-25.462,
601998.SH,中信银行,2007-04-30,5.9251,5.331,5.6645,5.331,5.3883,356261450,3712135398,-0.5367,-9.0589,10.4197,30.9351,11907988620,N/A,396027408378.36,1151643000,0,38300523054,106.2876,12.4439,22.2113,-23.1554,
601998.SH,中信银行,2007-05-08,5.3883,5.4196,5.4977,5.2111,5.4508,202265270,2077980695,0.0625,1.1605,10.2735,17.5632,12046185780,N/A,408288778804.84,1151643000,0,39033344054,107.5211,12.5883,22.899,-23.8723,
601998.SH,中信银行,2007-05-09,5.4508,5.4561,5.998,5.3466,5.972,301318369,3273551913,0.5211,9.5602,10.8641,26.1642,13197828780,N/A,447322122858.84,1151643000,0,39033344054,120.0542,14.0557,25.0882,-26.1546,
601998.SH,中信银行,2007-05-10,5.972,5.972,6.0293,5.7739,5.972,215001808,2439488494,0,0,11.3464,18.6691,13197828780,N/A,447322122858.84,1151643000,0,39033344054,120.0542,14.0557,25.0882,-26.1546,
601998.SH,中信银行,2007-05-11,5.972,5.8886,6.2273,5.7844,6.1074,178956825,2077424899,0.1355,2.2688,11.6085,15.5393,13497255960,N/A,457470792312.88,1151643000,0,39033344054,122.778,14.3746,25.6574,-26.748,
601998.SH,中信银行,2007-05-14,6.1074,5.9876,6.1491,5.9146,6.0293,142516432,1654802863,-0.0782,-1.2799,11.6113,12.3751,13324509510,N/A,451615790704.78,1151643000,0,39033344054,121.2066,14.1906,25.329,-26.4056,
601998.SH,中信银行,2007-05-15,6.0293,6.0293,6.0762,5.6332,5.6801,140699905,1572252457,-0.3491,-5.7908,11.1745,12.2173,12552908700,N/A,425463450188.6,1151643000,0,39033344054,114.1877,13.3688,23.8622,-24.8765,
601998.SH,中信银行,2007-05-16,5.6801,5.6176,5.7635,5.4821,5.7166,74153147,801701427,0.0365,0.6422,10.8114,6.4389,12633523710,N/A,428195784272.38,1151643000,0,39033344054,114.921,13.4547,24.0155,-25.0363,
601998.SH,中信银行,2007-05-17,5.7166,5.7166,5.8104,5.628,5.7375,75229054,825743719,0.0208,0.3646,10.9764,6.5323,12679589430,N/A,429757118034.54,1151643000,0,39033344054,115.3401,13.5038,24.103,-25.1276,
